"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"629105136821","Würth Elektronik","732-3155-1-ND","J2, J5","","Cut Tape (CT)","Active","2","1.21000","$2.42","8893","11 Weeks","CONN RCPT USB2.0 MICRO B SMD R/A","ROHS3 Compliant","Lead free","REACH Unaffected"
"61300211121","Würth Elektronik","732-5315-ND","JP3","","Bag","Active","1","0.13000","$0.13","143473","13 Weeks","CONN HEADER VERT 2POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"61300311121","Würth Elektronik","732-5316-ND","JP1","","Bag","Active","1","0.13000","$0.13","99893","13 Weeks","CONN HEADER VERT 3POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"61300511121","Würth Elektronik","732-5318-ND","JP4","","Bag","Active","1","0.25000","$0.25","26927","13 Weeks","CONN HEADER VERT 5POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"0603ZD104KAT2A","AVX Corporation","478-0603ZD104KAT2ACT-ND","C3, C6, C7, C8, C9, C10",".1u","Cut Tape (CT)","Active","6","0.33000","$1.98","3670","12 Weeks","CAP CER 0.1UF 10V X5R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0603JG100K","Stackpole Electronics Inc","RMCF0603JG100KTR-ND","R9","100k","Tape & Reel (TR)","Active","1","0.00000","$0.00","170000","20 Weeks","RES 100K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0603-FX-1002ELF","Bourns Inc.","CR0603-FX-1002ELFCT-ND","R3, R5, R6","10k","Cut Tape (CT)","Active","3","0.10000","$0.30","160664","14 Weeks","RES SMD 10K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"885382206002","Würth Elektronik","732-13185-1-ND","C1","10nF","Cut Tape (CT)","Active","1","0.10000","$0.10","2714","34 Weeks","CAP CER 10000PF 50V X7R 0603","ROHS3 Compliant","Lead free","Not Available"
"RC0603FR-071KL","Yageo","311-1.00KHRCT-ND","R10","1k","Cut Tape (CT)","Active","1","0.10000","$0.10","20406485","24 Weeks","RES SMD 1K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0603-FX-27R0ELF","Bourns Inc.","CR0603-FX-27R0ELFCT-ND","R1, R2","27","Cut Tape (CT)","Active","2","0.10000","$0.20","34118","14 Weeks","RES SMD 27 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-3EKF2700V","Panasonic Electronic Components","P270HCT-ND","R7, R8","270","Cut Tape (CT)","Active","2","0.10000","$0.20","263743","16 Weeks","RES SMD 270 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"C1608X7S1A475K080AC","TDK Corporation","445-14258-1-ND","C2","4.7uF","Cut Tape (CT)","Active","1","0.27000","$0.27","341000","12 Weeks","CAP CER 4.7UF 10V X7S 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"06033A470FAT2A","AVX Corporation","478-12679-1-ND","C4, C5","47pF","Cut Tape (CT)","Active","2","0.55000","$1.10","11241","12 Weeks","CAP CER 47PF 25V NP0 0603","ROHS3 Compliant","Lead free","Not Available"
"MI0805K601R-10","Laird-Signal Integrity Products","240-2390-1-ND","L1","600 ohm","Cut Tape (CT)","Active","1","0.20000","$0.20","0","8 Weeks","FERRITE BEAD 600 OHM 0805 1LN","RoHS Compliant","Lead free","REACH Unaffected"
"B3F-1000","Omron Electronics Inc-EMC Div","SW400-ND","SW1","B3F-1000","Bulk","Active","1","0.27000","$0.27","9637","9 Weeks","SWITCH TACTILE SPST-NO 0.05A 24V","RoHS Compliant","Lead free","Not Available"
"CDBU0520","Comchip Technology","641-1332-1-ND","D1","CDBU0520","Cut Tape (CT)","Active","1","0.37000","$0.37","45612","8 Weeks","DIODE SCHOTTKY 20V 500MA 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"FT230XS-R","FTDI, Future Technology Devices International Ltd","768-1135-1-ND","U1","FT230XS-R","Cut Tape (CT)","Active","1","2.04000","$2.04","37417","11 Weeks","IC USB SERIAL BASIC UART 16SSOP","RoHS Compliant","Lead free","REACH Unaffected"
"FTSH-105-01-F-DV-K-TR","Samtec Inc.","SAM13160CT-ND","CM1","FTSH-105-XX-X-DV-K","Cut Tape (CT)","Active","1","3.36000","$3.36","4292","Not Available","CONN HEADER SMD 10POS 1.27MM","ROHS3 Compliant","Lead free","Not Available"
"150060VS55040","Würth Elektronik","732-12017-1-ND","D2, D3","GREEN","Cut Tape (CT)","Active","2","0.18000","$0.36","11140","16 Weeks","LED GREEN DIFFUSED 0603 SMD","ROHS3 Compliant","Lead free","Not Available"
"SIL3407-TP","Micro Commercial Co","SIL3407-TPMSCT-ND","Q1","MOSFET-PCH-SOT23-6","Cut Tape (CT)","Active","1","0.41000","$0.41","26732","12 Weeks","P-CHANNEL,MOSFETS,SOT23-6L PACKA","ROHS3 Compliant","Lead free","Not Available"
"2-1734592-0","TE Connectivity AMP Connectors","A100287CT-ND","J1","ORESAT-DEBUG-CONNECTOR-CARD","Cut Tape (CT)","Active","1","0.95000","$0.95","29366","17 Weeks","CONN FPC BOTTOM 20POS 0.50MM R/A","RoHS Compliant","Lead free","Not Available"
"PRT-09011","","","J3","USB_A_SMT_FEMALE","","","","","","","","","","",""